wavelog_input,flatflux_input,flatflux_err_input,flatflux_input_sm
2501.693359,0.000000,0.000000,0.000000
2505.082520,0.000000,0.000000,0.000000
2508.476318,0.000000,0.000000,0.000000
2511.874512,0.000000,0.000000,0.000000
2515.277344,0.000000,0.000000,0.000000
2518.685059,0.000000,0.000000,0.000000
2522.097168,0.000000,0.000000,0.000000
2525.513672,0.000000,0.000000,0.000000
2528.935059,0.000000,0.000000,0.000000
2532.361084,0.000000,0.000000,0.000000
2535.791748,0.000000,0.000000,0.000000
2539.227051,0.000000,0.000000,0.000000
2542.666992,0.000000,0.000000,0.000000
2546.111816,0.000000,0.000000,0.000000
2549.561035,0.000000,0.000000,0.000000
2553.014648,0.000000,0.000000,0.000000
2556.473389,0.000000,0.000000,0.000000
2559.936523,0.000000,0.000000,0.000000
2563.404785,0.000000,0.000000,0.000000
2566.877441,0.000000,0.000000,0.000000
2570.354492,0.000000,0.000000,0.000000
2573.836914,0.000000,0.000000,0.000000
2577.323730,0.000000,0.000000,0.000000
2580.815430,0.000000,0.000000,0.000000
2584.311523,0.000000,0.000000,0.000000
2587.812500,0.000000,0.000000,0.000000
2591.318359,0.000000,0.000000,0.000000
2594.828613,0.000000,0.000000,0.000000
2598.344238,0.000000,0.000000,0.000000
2601.864258,0.000000,0.000000,0.000000
2605.388672,0.000000,0.000000,0.000000
2608.918457,0.000000,0.000000,0.000000
2612.452637,0.000000,0.000000,0.000000
2615.991943,0.000000,0.000000,0.000000
2619.535889,0.000000,0.000000,0.000000
2623.084473,0.000000,0.000000,0.000000
2626.638184,0.000000,0.000000,0.000000
2630.196289,0.000000,0.000000,0.000000
2633.759766,0.000000,0.000000,0.000000
2637.327637,0.000000,0.000000,0.000000
2640.900635,0.000000,0.000000,0.000000
2644.478271,0.000000,0.000000,0.000000
2648.060791,0.000000,0.000000,0.000000
2651.647949,0.000000,0.000000,0.000000
2655.240234,0.000000,0.000000,0.000000
2658.837402,0.000000,0.000000,0.000000
2662.439453,0.000000,0.000000,0.000000
2666.046387,0.000000,0.000000,0.000000
2669.658203,0.000000,0.000000,0.000000
2673.274902,0.000000,0.000000,0.000000
2676.896240,0.000000,0.000000,0.000000
2680.522705,0.000000,0.000000,0.000000
2684.154053,0.000000,0.000000,0.000000
2687.790527,0.000000,0.000000,0.000000
2691.431641,0.000000,0.000000,0.000000
2695.077637,0.000000,0.000000,0.000000
2698.728760,0.000000,0.000000,0.000000
2702.384766,0.000000,0.000000,0.000000
2706.045898,0.000000,0.000000,0.000000
2709.711670,0.000000,0.000000,0.000000
2713.382568,0.000000,0.000000,0.000000
2717.058594,0.000000,0.000000,0.000000
2720.739258,0.000000,0.000000,0.000000
2724.425293,0.000000,0.000000,0.000000
2728.115967,0.000000,0.000000,0.000000
2731.811768,0.000000,0.000000,0.000000
2735.512695,0.000000,0.000000,0.000000
2739.218750,0.000000,0.000000,0.000000
2742.929443,0.000000,0.000000,0.000000
2746.645508,0.000000,0.000000,0.000000
2750.366211,0.000000,0.000000,0.000000
2754.092285,0.000000,0.000000,0.000000
2757.823242,0.000000,0.000000,0.000000
2761.559326,0.000000,0.000000,0.000000
2765.300293,0.000000,0.000000,0.000000
2769.046387,0.000000,0.000000,0.000000
2772.797852,0.000000,0.000000,0.000000
2776.554199,0.000000,0.000000,0.000000
2780.315918,0.000000,0.000000,0.000000
2784.082520,0.000000,0.000000,0.000000
2787.854004,0.000000,0.000000,0.000000
2791.630859,0.000000,0.000000,0.000000
2795.412598,0.000000,0.000000,0.000000
2799.199463,0.000000,0.000000,0.000000
2802.991699,0.000000,0.000000,0.000000
2806.789062,0.000000,0.000000,0.000000
2810.591553,0.000000,0.000000,0.000000
2814.398926,0.000000,0.000000,0.000000
2818.211426,0.000000,0.000000,0.000000
2822.029541,0.000000,0.000000,0.000000
2825.852539,0.000000,0.000000,0.000000
2829.680908,0.000000,0.000000,0.000000
2833.514404,0.000000,0.000000,0.000000
2837.353027,0.000000,0.000000,0.000000
2841.196777,0.000000,0.000000,0.000000
2845.045898,0.000000,0.000000,0.000000
2848.899902,0.000000,0.000000,0.000000
2852.759277,0.000000,0.000000,0.000000
2856.624023,0.000000,0.000000,0.000000
2860.494141,0.000000,0.000000,0.000000
2864.369141,0.000000,0.000000,0.000000
2868.249756,0.000000,0.000000,0.000000
2872.135254,0.000000,0.000000,0.000000
2876.026123,0.000000,0.000000,0.000000
2879.922363,0.000000,0.000000,0.000000
2883.824219,0.000000,0.000000,0.000000
2887.730713,0.000000,0.000000,0.000000
2891.642578,0.000000,0.000000,0.000000
2895.560059,0.000000,0.000000,0.000000
2899.482910,0.000000,0.000000,0.000000
2903.410889,0.000000,0.000000,0.000000
2907.344238,0.000000,0.000000,0.000000
2911.282715,0.000000,0.000000,0.000000
2915.226562,0.000000,0.000000,0.000000
2919.176025,0.000000,0.000000,0.000000
2923.130859,0.000000,0.000000,0.000000
2927.090820,0.000000,0.000000,0.000000
2931.056152,0.000000,0.000000,0.000000
2935.026855,0.000000,0.000000,0.000000
2939.002930,0.000000,0.000000,0.000000
2942.984619,0.000000,0.000000,0.000000
2946.971680,0.000000,0.000000,0.000000
2950.963867,0.000000,0.000000,0.000000
2954.961426,0.000000,0.000000,0.000000
2958.964844,0.000000,0.000000,0.000000
2962.973145,0.000000,0.000000,0.000000
2966.987305,0.000000,0.000000,0.000000
2971.006592,0.000000,0.000000,0.000000
2975.031494,0.000000,0.000000,0.000000
2979.062012,0.000000,0.000000,0.000000
2983.097656,0.000000,0.000000,0.000000
2987.139160,0.000000,0.000000,0.000000
2991.185791,0.000000,0.000000,0.000000
2995.237793,0.000000,0.000000,0.000000
2999.295410,0.000000,0.000000,0.000000
3003.358887,0.000000,0.000000,0.000000
3007.427490,0.000000,0.000000,0.000000
3011.501709,0.000000,0.000000,0.000000
3015.581543,0.000000,0.000000,0.000000
3019.666748,0.000000,0.000000,0.000000
3023.757568,0.000000,0.000000,0.000000
